Year,Decade,Recent,Runtime_Binned,Top_Company,Top_Main_Actor,Top_Director,Top_Writer,Log_Budget,Weighted_Score,Log_Votes,G,PG,PG-13,R,NC-17,Not Rated,Unrated,X,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Historical,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Worldwide Gross
1985,1980,False,90-120,False,False,False,False,14.914123179965662,3450000.0,11.141876276228,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7196872.0
1981,1980,False,>120,False,False,False,True,16.300417291085605,14520000.0,12.301387370778713,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12376625.0
1984,1980,False,90-120,False,False,False,False,17.11134746100564,99900000.0,14.115615891155079,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251411.0
1980,1980,False,90-120,False,False,False,False,16.213405921671733,13000000.0,12.206077645517674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19814523.0
2003,2000,False,90-120,False,False,False,False,17.399029524198163,28060000.0,13.038983942375959,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44350926.0
1996,1990,False,90-120,False,False,True,False,12.429220196836383,3604000.0,10.87806606028079,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10580.0
1999,1990,False,>120,False,False,False,False,18.420680753952364,77280000.0,13.928840136128022,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87423861.0
1996,1990,False,60-90,False,True,False,False,17.909855136853043,53200000.0,13.76421831620775,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129832389.0
1983,1980,False,90-120,False,False,False,False,15.424948670398354,6930000.0,11.608244735642321,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12232628.0
2003,2000,False,60-90,False,False,False,False,16.300417291085605,5250000.0,12.429220196836383,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4928883.0
2014,2010,True,90-120,False,False,False,False,17.147715103853763,74750000.0,13.955273369904273,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58834384.0
2002,2000,False,90-120,False,False,False,False,13.122365377402328,22440000.0,12.73670383776449,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,264349.0
2019,2010,True,90-120,False,False,False,False,17.553180200057167,101170000.0,14.227620871042543,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122810399.0
2018,2010,True,90-120,False,False,False,False,17.341871111992198,17100000.0,12.611541086966115,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41142379.0
2014,2010,True,90-120,False,False,False,False,16.801192546169812,49500000.0,13.527829818844937,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41296320.0
1990,1990,False,90-120,False,False,False,False,15.250595321348806,27600000.0,12.899222326086994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5835247.0
1989,1980,False,90-120,False,False,False,False,18.064005814299346,2090000.0,10.545367754151743,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,154648887.0
2002,2000,False,>120,False,False,True,False,15.424948670398354,130720000.0,14.357835430184815,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23932055.0
2009,2000,False,90-120,False,False,False,False,16.648723960844016,11210000.0,12.154784614286667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20458873.0
2008,2000,False,90-120,False,False,False,False,16.811242881518265,12920000.0,12.154784614286667,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5642478.0
2007,2000,False,60-90,False,False,False,False,16.380459992348886,8820000.0,11.849404844423074,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7248490.0
2008,2000,False,90-120,False,False,False,False,16.097893045681612,27300000.0,12.873904582205107,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16303643.0
2008,2000,False,90-120,False,True,True,False,17.034386422832473,15120000.0,12.506180941677357,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6759057.0
2016,2010,True,90-120,False,False,False,False,17.216707972959764,5940000.0,11.608244735642321,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,678150.0
1997,1990,False,60-90,False,False,False,False,16.705882371415992,22400000.0,12.899222326086994,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31480418.0
2015,2010,True,90-120,False,False,False,True,16.811242881518265,72600000.0,13.910821646859095,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36606743.0
1996,1990,False,90-120,False,True,False,False,17.72753358339242,27930000.0,13.102162710901053,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60209334.0
2019,2010,True,90-120,False,False,False,False,15.201805169084134,21450000.0,12.706850963741102,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22386555.0
1997,1990,False,90-120,False,False,False,False,16.118095750958314,10450000.0,12.154784614286667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44332015.0
2013,2010,True,90-120,False,False,False,False,14.220976332738882,22040000.0,12.847929163278053,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3909596.0
