Year,Decade,Recent,Runtime_Encoded,Director_Num_Movies,Writer_Num_Movies,Main_Actor_Num_Movies,Company_Num_Movies,Scaled_Standardized_Budget,Normalized_Score,Log_Votes,G,PG,PG-13,R,NC-17,Not Rated,Unrated,X,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Western,Log_Worldwide_Gross
2005,2000,0,1,4,2,1,1,0.11234459007736083,0.472972972972973,15.319588176962746,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9589225044588
2003,2000,0,0,5,2,1,152,0.0730180845744591,0.5810810810810811,16.562781536322326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.62830791619158
2002,2000,0,1,2,3,1,295,0.09829940954061021,0.45945945945945943,15.483217567201578,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.935348752806654
2012,2010,1,2,1,1,1,1,0.020756192520098637,0.7162162162162162,15.201805169084134,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.781597435183404
2011,2010,1,1,5,1,5,292,0.19661567329786453,0.5135135135135135,16.68340951682656,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.47382944019805
2003,2000,0,2,5,2,5,271,0.1685253122243633,0.4864864864864865,16.066802461833923,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.41536214679423
2005,2000,0,1,6,2,5,1,0.018241880481131692,0.7702702702702704,16.88356353960952,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.789905751527765
1997,1990,0,1,8,4,5,4,5.3371686039638266e-05,0.7162162162162162,14.077875591662238,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.149310259430763
2016,2010,1,0,4,2,5,4,0.014028326320106518,0.45945945945945943,13.997832948091215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.319428455737953
2014,2010,1,2,1,1,1,72,0.18537952886846404,0.6081081081081081,16.61887099947687,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.432668331598453
2010,2010,1,1,5,4,3,2,0.0842542290038596,0.7702702702702704,17.795192230557824,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.6844096183969
2013,2010,1,1,4,2,3,320,0.07863615678915935,0.6216216216216216,17.069753565279804,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.225619320968313
2012,2010,1,2,17,2,3,2,0.12638977061411144,0.6216216216216216,16.349207451286784,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.536528345449113
2009,2000,0,1,3,3,2,1,0.023859952695831937,0.6756756756756757,14.77102238760702,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.783561896475923
2011,2010,1,1,1,1,2,1,0.042118687393607745,0.5945945945945946,13.997832948091215,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.83212335806442
2015,2010,1,2,1,1,1,2,0.016837362427456634,0.7837837837837838,15.843658936835498,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.718670308199691
1994,1990,0,1,1,1,2,98,0.053916639044478264,0.5540540540540541,11.608244735642321,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.324730937730134
1998,1990,0,0,1,1,2,1,0.005601217998056143,0.7162162162162162,13.805461232211272,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.026950526887557
2007,2000,0,1,2,3,2,44,0.028073506856857125,0.6081081081081081,14.946912992035967,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.983837119460873
2003,2000,0,1,1,1,2,1,0.016837362427456634,0.5540540540540541,13.997832948091215,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.755374405347997
2016,2010,1,1,8,8,2,1,0.014028326320106518,0.7432432432432432,15.816990693309524,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.378637180704082
2019,2010,1,2,4,4,2,4,0.05223121738006819,0.8108108108108107,17.0926553286923,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.020523121553152
2010,2010,1,1,12,3,28,292,0.22470603437136577,0.5405405405405406,16.963963961454382,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.721800593724186
2008,2000,0,1,12,3,28,292,0.252796395444867,0.4864864864864865,16.780783675579947,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.437750740939315
